date,ratio,category
2025-02-13,89.40629,건강식품
2025-02-14,83.05819,건강식품
2025-02-15,78.50638,건강식품
2025-02-16,87.92075,건강식품
2025-02-17,100.0,건강식품
2025-02-18,99.62655,건강식품
2025-02-19,97.69921,건강식품
2025-02-20,93.17725,건강식품
2025-02-21,86.79178,건강식품
2025-02-22,80.84132,건강식품
2025-02-23,89.47865,건강식품
2025-02-24,99.58078,건강식품
2025-02-25,95.95752,건강식품
2025-02-26,96.09154,건강식품
2025-02-27,90.75392,건강식품
2025-02-28,79.81781,건강식품
2025-03-01,76.99919,건강식품
2025-03-02,83.7958,건강식품
2025-03-03,94.36447,건강식품
2025-03-04,97.58238,건강식품
2025-03-05,94.45444,건강식품
2025-03-06,92.27232,건강식품
2025-03-07,84.47706,건강식품
2025-03-08,78.40958,건강식품
2025-03-09,87.13,건강식품
2025-03-10,96.58345,건강식품
2025-03-11,94.17142,건강식품
2025-03-12,94.49602,건강식품
2025-03-13,90.45736,건강식품
2025-03-14,81.66681,건강식품
2025-03-15,76.77114,건강식품
2025-03-16,86.77061,건강식품
2025-03-17,95.828,건강식품
2025-03-18,95.87892,건강식품
2025-03-19,92.38629,건강식품
2025-03-20,88.67116,건강식품
2025-03-21,78.05025,건강식품
2025-03-22,73.9226,건강식품
2025-03-23,83.66401,건강식품
2025-03-24,95.14002,건강식품
2025-03-25,90.9999,건강식품
2025-03-26,87.81742,건강식품
2025-03-27,87.20581,건강식품
2025-03-28,77.92297,건강식품
2025-03-29,71.10485,건강식품
2025-03-30,79.15199,건강식품
2025-03-31,90.02355,건강식품
2025-04-01,89.57569,건강식품
2025-04-02,91.55019,건강식품
2025-04-03,89.38527,건강식품
2025-04-04,78.67135,건강식품
2025-04-05,77.35711,건강식품
2025-04-06,80.74332,건강식품
2025-04-07,93.70626,건강식품
2025-04-08,93.90642,건강식품
2025-04-09,92.45121,건강식품
2025-04-10,89.19993,건강식품
2025-04-11,83.79773,건강식품
2025-04-12,78.23377,건강식품
2025-04-13,85.81475,건강식품
2025-04-14,98.1446,건강식품
2025-04-15,93.53304,건강식품
2025-04-16,91.06874,건강식품
2025-04-17,88.00448,건강식품
2025-04-18,81.91025,건강식품
2025-04-19,75.324,건강식품
2025-04-20,80.04201,건강식품
2025-04-21,93.67279,건강식품
2025-04-22,96.06589,건강식품
2025-04-23,86.91986,건강식품
2025-04-24,82.64025,건강식품
2025-04-25,75.4969,건강식품
2025-04-26,66.90417,건강식품
2025-04-27,74.59584,건강식품
2025-04-28,85.81762,건강식품
2025-04-29,82.60562,건강식품
2025-04-30,76.59921,건강식품
2025-05-01,76.72001,건강식품
2025-05-02,71.72754,건강식품
2025-05-03,67.24717,건강식품
2025-05-04,64.07954,건강식품
2025-05-05,70.25332,건강식품
2025-05-06,80.729,건강식품
2025-05-07,85.90141,건강식품
2025-05-08,81.94417,건강식품
2025-05-09,80.87998,건강식품
2025-05-10,71.33393,건강식품
2025-05-11,75.39072,건강식품
2025-05-12,87.96017,건강식품
2025-05-13,84.94875,건강식품
2025-05-14,83.42021,건강식품
2025-05-15,81.19258,건강식품
2025-05-16,73.9275,건강식품
2025-05-17,62.78801,건강식품
2025-05-18,69.07608,건강식품
2025-05-19,81.51079,건강식품
2025-05-20,79.48868,건강식품
2025-05-21,77.98492,건강식품
2025-05-22,75.87367,건강식품
2025-05-23,69.55774,건강식품
2025-05-24,61.84807,건강식품
2025-05-25,65.8954,건강식품
2025-05-26,79.51012,건강식품
2025-05-27,77.18231,건강식품
2025-05-28,75.13598,건강식품
2025-05-29,71.83454,건강식품
2025-05-30,65.68193,건강식품
2025-05-31,59.04613,건강식품
2025-06-01,67.91625,건강식품
2025-06-02,76.93965,건강식품
2025-06-03,68.98169,건강식품
2025-06-04,73.48219,건강식품
2025-06-05,68.67309,건강식품
2025-06-06,61.97786,건강식품
2025-06-07,62.03545,건강식품
2025-06-08,68.1879,건강식품
2025-06-09,78.59839,건강식품
2025-06-10,75.26814,건강식품
2025-06-11,74.98894,건강식품
2025-06-12,72.7571,건강식품
2025-06-13,69.07232,건강식품
2025-06-14,60.64982,건강식품
2025-06-15,65.82088,건강식품
2025-06-16,77.30114,건강식품
2025-06-17,75.16411,건강식품
2025-06-18,74.0552,건강식품
2025-06-19,71.95567,건강식품
2025-06-20,68.59631,건강식품
2025-06-21,62.68686,건강식품
2025-06-22,66.58415,건강식품
2025-06-23,77.2213,건강식품
2025-06-24,75.67409,건강식품
2025-06-25,74.55594,건강식품
2025-06-26,72.24673,건강식품
2025-06-27,66.85551,건강식품
2025-06-28,60.29364,건강식품
2025-06-29,66.80219,건강식품
2025-06-30,76.42314,건강식품
2025-07-01,77.33176,건강식품
2025-07-02,76.79696,건강식품
2025-07-03,74.2762,건강식품
2025-07-04,68.26483,건강식품
2025-07-05,61.94924,건강식품
2025-07-06,68.13521,건강식품
2025-07-07,79.20736,건강식품
2025-07-08,77.03629,건강식품
2025-07-09,76.61889,건강식품
2025-07-10,72.85588,건강식품
2025-07-11,68.50884,건강식품
2025-07-12,60.92999,건강식품
2025-07-13,66.45905,건강식품
2025-07-14,77.07076,건강식품
2025-07-15,75.53475,건강식품
2025-07-16,76.44743,건강식품
2025-07-17,71.78586,건강식품
2025-07-18,65.9326,건강식품
2025-07-19,60.43722,건강식품
2025-07-20,64.33653,건강식품
2025-07-21,73.93523,건강식품
2025-07-22,72.76054,건강식품
2025-07-23,71.97783,건강식품
2025-07-24,68.90974,건강식품
2025-07-25,63.76054,건강식품
2025-07-26,57.06239,건강식품
2025-07-27,62.21352,건강식품
2025-07-28,70.65187,건강식품
2025-07-29,69.66857,건강식품
2025-07-30,67.36923,건강식품
2025-07-31,64.79565,건강식품
2025-08-01,52.36115,건강식품
2025-08-02,49.89828,건강식품
2025-08-03,54.22322,건강식품
2025-08-04,61.3181,건강식품
2025-08-05,61.29474,건강식품
2025-08-06,61.68357,건강식품
2025-08-07,59.5301,건강식품
2025-08-08,55.37745,건강식품
2025-08-09,52.13413,건강식품
2025-08-10,56.61675,건강식품
2025-08-11,63.07829,건강식품
2025-08-12,61.72638,건강식품
2025-08-13,58.65743,건강식품
2025-08-14,53.13401,건강식품
2025-08-15,49.7901,건강식품
2025-08-16,51.18534,건강식품
2025-08-17,55.68985,건강식품
2025-08-18,62.8594,건강식품
2025-08-19,62.30094,건강식품
2025-08-20,61.3807,건강식품
2025-08-21,60.16044,건강식품
2025-08-22,55.88778,건강식품
2025-08-23,51.26539,건강식품
2025-08-24,55.79942,건강식품
2025-08-25,62.0534,건강식품
2025-08-26,61.18331,건강식품
2025-08-27,61.10101,건강식품
2025-08-28,59.43126,건강식품
2025-08-29,54.56641,건강식품
2025-08-30,50.76899,건강식품
2025-08-31,54.86874,건강식품
2025-09-01,62.25098,건강식품
2025-09-02,62.9943,건강식품
2025-09-03,61.81611,건강식품
2025-09-04,60.2103,건강식품
2025-09-05,55.9056,건강식품
2025-09-06,52.3301,건강식품
2025-09-07,57.16541,건강식품
2025-09-08,63.59701,건강식품
2025-09-09,62.89186,건강식품
2025-09-10,58.99906,건강식품
2025-09-11,55.87048,건강식품
2025-09-12,51.83594,건강식품
2025-09-13,48.74794,건강식품
2025-09-14,52.26409,건강식품
2025-09-15,60.07857,건강식품
2025-09-16,60.27342,건강식품
2025-09-17,60.26269,건강식품
2025-09-18,56.13444,건강식품
2025-09-19,52.68461,건강식품
2025-09-20,48.17038,건강식품
2025-09-21,51.96624,건강식품
2025-09-22,57.31827,건강식품
2025-09-23,55.77503,건강식품
2025-09-24,56.14589,건강식품
2025-09-25,53.01896,건강식품
2025-09-26,48.09717,건강식품
2025-09-27,43.9204,건강식품
2025-09-28,50.03192,건강식품
2025-09-29,53.31569,건강식품
2025-09-30,50.17055,건강식품
2025-10-01,47.23982,건강식품
2025-10-02,40.87877,건강식품
2025-10-03,39.94102,건강식품
2025-10-04,37.82888,건강식품
2025-10-05,37.24063,건강식품
2025-10-06,39.24506,건강식품
2025-10-07,42.65003,건강식품
2025-10-08,45.0805,건강식품
2025-10-09,50.45258,건강식품
2025-10-10,53.98535,건강식품
2025-10-11,50.67801,건강식품
2025-10-12,54.68912,건강식품
2025-10-13,61.09352,건강식품
2025-10-14,58.26833,건강식품
2025-10-15,55.1476,건강식품
2025-10-16,52.21788,건강식품
2025-10-17,47.26463,건강식품
2025-10-18,43.4183,건강식품
2025-10-19,47.06872,건강식품
2025-10-20,54.51985,건강식품
2025-10-21,53.53148,건강식품
2025-10-22,51.77371,건강식품
2025-10-23,49.92576,건강식품
2025-10-24,45.52968,건강식품
2025-10-25,40.90972,건강식품
2025-10-26,46.59966,건강식품
2025-10-27,52.59354,건강식품
2025-10-28,50.93953,건강식품
2025-10-29,48.87082,건강식품
2025-10-30,45.68874,건강식품
2025-10-31,42.09647,건강식품
2025-11-01,39.74836,건강식품
2025-11-02,44.71389,건강식품
2025-11-03,50.5568,건강식품
2025-11-04,50.1542,건강식품
2025-11-05,49.26629,건강식품
2025-11-06,48.44941,건강식품
2025-11-07,44.61247,건강식품
2025-11-08,40.34668,건강식품
2025-11-09,44.81307,건강식품
2025-11-10,50.81232,건강식품
2025-11-11,50.7546,건강식품
2025-11-12,49.64852,건강식품
2025-11-13,47.58612,건강식품
2025-11-14,44.91077,건강식품
2025-11-15,39.62971,건강식품
2025-11-16,43.7861,건강식품
2025-11-17,51.16282,건강식품
2025-11-18,50.81679,건강식품
2025-11-19,49.08157,건강식품
2025-11-20,46.89544,건강식품
2025-11-21,43.20733,건강식품
2025-11-22,39.43131,건강식품
2025-11-23,43.759,건강식품
2025-11-24,50.45246,건강식품
2025-11-25,49.92617,건강식품
2025-11-26,46.7133,건강식품
2025-11-27,46.11197,건강식품
2025-11-28,41.82529,건강식품
2025-11-29,38.97397,건강식품
2025-11-30,43.25773,건강식품
2025-12-01,50.43193,건강식품
2025-12-02,50.9466,건강식품
2025-12-03,50.98549,건강식품
2025-12-04,48.92978,건강식품
2025-12-05,45.58291,건강식품
2025-12-06,41.76888,건강식품
2025-12-07,46.14542,건강식품
2025-12-08,52.27017,건강식품
2025-12-09,51.46075,건강식품
2025-12-10,50.17541,건강식품
2025-12-11,49.40176,건강식품
2025-12-12,45.25029,건강식품
2025-12-13,42.25849,건강식품
2025-12-14,46.29793,건강식품
2025-12-15,51.32757,건강식품
2025-12-16,50.48159,건강식품
2025-12-17,48.95122,건강식품
2025-12-18,47.92519,건강식품
2025-12-19,44.58069,건강식품
2025-12-20,41.7095,건강식품
2025-12-21,46.00234,건강식품
2025-12-22,50.46017,건강식품
2025-12-23,47.32177,건강식품
2025-12-24,42.47329,건강식품
2025-12-25,42.45768,건강식품
2025-12-26,45.01501,건강식품
2025-12-27,41.88117,건강식품
2025-12-28,46.18809,건강식품
2025-12-29,49.23747,건강식품
2025-12-30,46.69288,건강식품
2025-12-31,41.2166,건강식품
2026-01-01,43.99243,건강식품
2026-01-02,47.58172,건강식품
2026-01-03,45.34297,건강식품
2026-01-04,49.0843,건강식품
2026-01-05,51.70354,건강식품
2026-01-06,51.33045,건강식품
2026-01-07,51.97358,건강식품
2026-01-08,52.30994,건강식품
2026-01-09,48.19345,건강식품
2026-01-10,45.52827,건강식품
2026-01-11,49.94817,건강식품
2026-01-12,53.86239,건강식품
2026-01-13,52.78736,건강식품
2026-01-14,52.37694,건강식품
2026-01-15,50.87811,건강식품
2026-01-16,47.59813,건강식품
2026-01-17,44.46093,건강식품
2026-01-18,47.95438,건강식품
2026-01-19,51.46774,건강식품
2026-01-20,51.12567,건강식품
2026-01-21,50.2157,건강식품
2026-01-22,49.10508,건강식품
2026-01-23,45.22476,건강식품
2026-01-24,43.16767,건강식품
2026-01-25,46.61686,건강식품
2026-01-26,50.74332,건강식품
2026-01-27,50.3845,건강식품
2026-01-28,51.64679,건강식품
2026-01-29,50.85865,건강식품
2026-01-30,47.80611,건강식품
2026-01-31,46.15948,건강식품
2026-02-01,49.12232,건강식품
2026-02-02,51.75905,건강식품
2026-02-03,51.34829,건강식품
2026-02-04,50.75764,건강식품
2026-02-05,49.60635,건강식품
2026-02-06,47.10145,건강식품
2026-02-07,45.41328,건강식품
2026-02-08,49.35922,건강식품
2026-02-09,52.24536,건강식품
2026-02-10,50.39019,건강식품
2026-02-11,48.694,건강식품
2026-02-12,45.49817,건강식품
